RMN,Ar,At,Br,Bt,Cr,Ct,Dr,Dt,IO
R00-M0-N00,R08-M0-N04,R00-M0-N04,R20-M0-N08,R00-M0-N08,R02-M0-N01,R00-M0-N01,R01-M0-N02,R00-M0-N02,Q0G-I0-J00
R00-M0-N01,R08-M0-N05,R00-M0-N05,R20-M0-N09,R00-M0-N09,R00-M0-N00,R04-M0-N00,R01-M0-N03,R00-M0-N03,Q0G-I0-J00
R00-M0-N02,R08-M0-N06,R00-M0-N06,R20-M0-N10,R00-M0-N10,R02-M0-N03,R00-M0-N03,R00-M0-N00,R00-M1-N00,Q0G-I0-J00
R00-M0-N03,R08-M0-N07,R00-M0-N07,R20-M0-N11,R00-M0-N11,R00-M0-N02,R04-M0-N02,R00-M0-N01,R00-M1-N01,Q0G-I0-J00
R00-M0-N04,R00-M0-N00,R08-M0-N00,R20-M0-N12,R00-M0-N12,R02-M0-N05,R00-M0-N05,R01-M0-N06,R00-M0-N06,Q0G-I0-J01
R00-M0-N05,R00-M0-N01,R08-M0-N01,R20-M0-N13,R00-M0-N13,R00-M0-N04,R04-M0-N04,R01-M0-N07,R00-M0-N07,Q0G-I0-J01
R00-M0-N06,R00-M0-N02,R08-M0-N02,R20-M0-N14,R00-M0-N14,R02-M0-N07,R00-M0-N07,R00-M0-N04,R00-M1-N04,Q0G-I0-J01
R00-M0-N07,R00-M0-N03,R08-M0-N03,R20-M0-N15,R00-M0-N15,R00-M0-N06,R04-M0-N06,R00-M0-N05,R00-M1-N05,Q0G-I0-J01
R00-M0-N08,R08-M0-N12,R00-M0-N12,R00-M0-N00,R10-M0-N00,R02-M0-N09,R00-M0-N09,R01-M0-N10,R00-M0-N10,Q0G-I0-J02
R00-M0-N09,R08-M0-N13,R00-M0-N13,R00-M0-N01,R10-M0-N01,R00-M0-N08,R04-M0-N08,R01-M0-N11,R00-M0-N11,Q0G-I0-J02
R00-M0-N10,R08-M0-N14,R00-M0-N14,R00-M0-N02,R10-M0-N02,R02-M0-N11,R00-M0-N11,R00-M0-N08,R00-M1-N08,Q0G-I0-J02
R00-M0-N11,R08-M0-N15,R00-M0-N15,R00-M0-N03,R10-M0-N03,R00-M0-N10,R04-M0-N10,R00-M0-N09,R00-M1-N09,Q0G-I0-J02
R00-M0-N12,R00-M0-N08,R08-M0-N08,R00-M0-N04,R10-M0-N04,R02-M0-N13,R00-M0-N13,R01-M0-N14,R00-M0-N14,Q0G-I0-J03
R00-M0-N13,R00-M0-N09,R08-M0-N09,R00-M0-N05,R10-M0-N05,R00-M0-N12,R04-M0-N12,R01-M0-N15,R00-M0-N15,Q0G-I0-J03
R00-M0-N14,R00-M0-N10,R08-M0-N10,R00-M0-N06,R10-M0-N06,R02-M0-N15,R00-M0-N15,R00-M0-N12,R00-M1-N12,Q0G-I0-J03
R00-M0-N15,R00-M0-N11,R08-M0-N11,R00-M0-N07,R10-M0-N07,R00-M0-N14,R04-M0-N14,R00-M0-N13,R00-M1-N13,Q0G-I0-J03
R00-M1-N00,R08-M1-N04,R00-M1-N04,R20-M1-N08,R00-M1-N08,R02-M1-N01,R00-M1-N01,R00-M0-N02,R00-M1-N02,Q0G-I0-J04
R00-M1-N01,R08-M1-N05,R00-M1-N05,R20-M1-N09,R00-M1-N09,R00-M1-N00,R04-M1-N00,R00-M0-N03,R00-M1-N03,Q0G-I0-J04
R00-M1-N02,R08-M1-N06,R00-M1-N06,R20-M1-N10,R00-M1-N10,R02-M1-N03,R00-M1-N03,R00-M1-N00,R01-M1-N00,Q0G-I0-J04
R00-M1-N03,R08-M1-N07,R00-M1-N07,R20-M1-N11,R00-M1-N11,R00-M1-N02,R04-M1-N02,R00-M1-N01,R01-M1-N01,Q0G-I0-J04
R00-M1-N04,R00-M1-N00,R08-M1-N00,R20-M1-N12,R00-M1-N12,R02-M1-N05,R00-M1-N05,R00-M0-N06,R00-M1-N06,Q0G-I0-J05
R00-M1-N05,R00-M1-N01,R08-M1-N01,R20-M1-N13,R00-M1-N13,R00-M1-N04,R04-M1-N04,R00-M0-N07,R00-M1-N07,Q0G-I0-J05
R00-M1-N06,R00-M1-N02,R08-M1-N02,R20-M1-N14,R00-M1-N14,R02-M1-N07,R00-M1-N07,R00-M1-N04,R01-M1-N04,Q0G-I0-J05
R00-M1-N07,R00-M1-N03,R08-M1-N03,R20-M1-N15,R00-M1-N15,R00-M1-N06,R04-M1-N06,R00-M1-N05,R01-M1-N05,Q0G-I0-J05
R00-M1-N08,R08-M1-N12,R00-M1-N12,R00-M1-N00,R10-M1-N00,R02-M1-N09,R00-M1-N09,R00-M0-N10,R00-M1-N10,Q0G-I0-J06
R00-M1-N09,R08-M1-N13,R00-M1-N13,R00-M1-N01,R10-M1-N01,R00-M1-N08,R04-M1-N08,R00-M0-N11,R00-M1-N11,Q0G-I0-J06
R00-M1-N10,R08-M1-N14,R00-M1-N14,R00-M1-N02,R10-M1-N02,R02-M1-N11,R00-M1-N11,R00-M1-N08,R01-M1-N08,Q0G-I0-J06
R00-M1-N11,R08-M1-N15,R00-M1-N15,R00-M1-N03,R10-M1-N03,R00-M1-N10,R04-M1-N10,R00-M1-N09,R01-M1-N09,Q0G-I0-J06
R00-M1-N12,R00-M1-N08,R08-M1-N08,R00-M1-N04,R10-M1-N04,R02-M1-N13,R00-M1-N13,R00-M0-N14,R00-M1-N14,Q0G-I0-J07
R00-M1-N13,R00-M1-N09,R08-M1-N09,R00-M1-N05,R10-M1-N05,R00-M1-N12,R04-M1-N12,R00-M0-N15,R00-M1-N15,Q0G-I0-J07
R00-M1-N14,R00-M1-N10,R08-M1-N10,R00-M1-N06,R10-M1-N06,R02-M1-N15,R00-M1-N15,R00-M1-N12,R01-M1-N12,Q0G-I0-J07
R00-M1-N15,R00-M1-N11,R08-M1-N11,R00-M1-N07,R10-M1-N07,R00-M1-N14,R04-M1-N14,R00-M1-N13,R01-M1-N13,Q0G-I0-J07
R01-M0-N00,R09-M0-N04,R01-M0-N04,R21-M0-N08,R01-M0-N08,R03-M0-N01,R01-M0-N01,R01-M1-N02,R01-M0-N02,Q0G-I1-J00
R01-M0-N01,R09-M0-N05,R01-M0-N05,R21-M0-N09,R01-M0-N09,R01-M0-N00,R05-M0-N00,R01-M1-N03,R01-M0-N03,Q0G-I1-J00
R01-M0-N02,R09-M0-N06,R01-M0-N06,R21-M0-N10,R01-M0-N10,R03-M0-N03,R01-M0-N03,R01-M0-N00,R00-M0-N00,Q0G-I1-J00
R01-M0-N03,R09-M0-N07,R01-M0-N07,R21-M0-N11,R01-M0-N11,R01-M0-N02,R05-M0-N02,R01-M0-N01,R00-M0-N01,Q0G-I1-J00
R01-M0-N04,R01-M0-N00,R09-M0-N00,R21-M0-N12,R01-M0-N12,R03-M0-N05,R01-M0-N05,R01-M1-N06,R01-M0-N06,Q0G-I1-J01
R01-M0-N05,R01-M0-N01,R09-M0-N01,R21-M0-N13,R01-M0-N13,R01-M0-N04,R05-M0-N04,R01-M1-N07,R01-M0-N07,Q0G-I1-J01
R01-M0-N06,R01-M0-N02,R09-M0-N02,R21-M0-N14,R01-M0-N14,R03-M0-N07,R01-M0-N07,R01-M0-N04,R00-M0-N04,Q0G-I1-J01
R01-M0-N07,R01-M0-N03,R09-M0-N03,R21-M0-N15,R01-M0-N15,R01-M0-N06,R05-M0-N06,R01-M0-N05,R00-M0-N05,Q0G-I1-J01
R01-M0-N08,R09-M0-N12,R01-M0-N12,R01-M0-N00,R11-M0-N00,R03-M0-N09,R01-M0-N09,R01-M1-N10,R01-M0-N10,Q0G-I1-J02
R01-M0-N09,R09-M0-N13,R01-M0-N13,R01-M0-N01,R11-M0-N01,R01-M0-N08,R05-M0-N08,R01-M1-N11,R01-M0-N11,Q0G-I1-J02
R01-M0-N10,R09-M0-N14,R01-M0-N14,R01-M0-N02,R11-M0-N02,R03-M0-N11,R01-M0-N11,R01-M0-N08,R00-M0-N08,Q0G-I1-J02
R01-M0-N11,R09-M0-N15,R01-M0-N15,R01-M0-N03,R11-M0-N03,R01-M0-N10,R05-M0-N10,R01-M0-N09,R00-M0-N09,Q0G-I1-J02
R01-M0-N12,R01-M0-N08,R09-M0-N08,R01-M0-N04,R11-M0-N04,R03-M0-N13,R01-M0-N13,R01-M1-N14,R01-M0-N14,Q0G-I1-J03
R01-M0-N13,R01-M0-N09,R09-M0-N09,R01-M0-N05,R11-M0-N05,R01-M0-N12,R05-M0-N12,R01-M1-N15,R01-M0-N15,Q0G-I1-J03
R01-M0-N14,R01-M0-N10,R09-M0-N10,R01-M0-N06,R11-M0-N06,R03-M0-N15,R01-M0-N15,R01-M0-N12,R00-M0-N12,Q0G-I1-J03
