"str","partition"
"000000000000000000000000000000001111111111111111111111111111111100000000000000000000000000000000","MIR-04000-77FF1-16384"
"000000000000000000000000000000001111111100001111111111110000111100000000000000000000000000000000","MIR-04000-77FF1-0010-12288"
"000000000000000000000000000000001111111111110000111111111111000000000000000000000000000000000000","MIR-04000-77FF1-0020-12288"
"111111111111111100000000000000001111111111111111000000000000000011111111111111110000000000000000","MIR-00000-3BFF1-24576"
"111111111111111100000000000000000000000000000000000000000000000011111111111111110000000000000000","MIR-00000-3BFF1-0100-16384"
"000000000000000011111111111111110000000000000000111111111111111100000000000000001111111111111111","MIR-40000-7BFF1-24576"
"000000000000000011111111111111110000000000000000000000000000000000000000000000001111111111111111","MIR-40000-7BFF1-0100-16384"
"111111111111111111111111111111110000000000000000000000000000000000000000000000000000000000000000","MIR-00000-73FF1-16384"
"111111110000111111111111000011110000000000000000000000000000000000000000000000000000000000000000","MIR-00000-73FF1-0010-12288"
"111111111111000011111111111100000000000000000000000000000000000000000000000000000000000000000000","MIR-00000-73FF1-0020-12288"
"000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00C80-33FF1-1024"
"000000000000000000000000000000000000000000000000000000000000000011111111000011111111111100001111","MIR-08000-7BFF1-0010-12288"
"000000000000000000000000000000000000000000000000000000000000000011111111111100001111111111110000","MIR-08000-7BFF1-0020-12288"
"000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00C00-33F71-1024"
"000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00400-33771-1024"
"000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-40080-733F1-1024"
"111100001111000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00000-337F1-3-4096"
"000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-40000-73371-1024"
"000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00480-337F1-1024"
"000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000","MIR-40C00-73F71-1024"
"000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00880-33BF1-1024"
"000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111","MIR-08000-7BFF1-B-16384"
"000000000000000011110000111100000000000000000000000000000000000000000000000000000000000000000000","MIR-40000-737F1-3-4096"
"110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00000-33371-1024"
"000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111","MIR-04000-7BFF1-32768"
"000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111","MIR-04000-7BFF1-4-32768"
"000000000000000000000000000000000000000000000000000000000000000011110000111111111111000011111111","MIR-08000-7BBF1-12288"
"000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000","MIR-08080-3B3F1-1-1024"
"000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000","MIR-40880-73BF1-1024"
"000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000","MIR-40400-73771-1024"
"000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000","MIR-04040-37371-512"
