"torus","RMNJ"
"00000","R00-M0-N00-J00"
"00001","R00-M0-N00-J07"
"00010","R00-M0-N00-J12"
"00011","R00-M0-N00-J11"
"00020","R00-M0-N02-J12"
"00021","R00-M0-N02-J11"
"00030","R00-M0-N02-J00"
"00031","R00-M0-N02-J07"
"00040","R00-M1-N00-J00"
"00041","R00-M1-N00-J07"
"00050","R00-M1-N00-J12"
"00051","R00-M1-N00-J11"
"00060","R00-M1-N02-J12"
"00061","R00-M1-N02-J11"
"00070","R00-M1-N02-J00"
"00071","R00-M1-N02-J07"
"00080","R01-M1-N00-J00"
"00081","R01-M1-N00-J07"
"00090","R01-M1-N00-J12"
"00091","R01-M1-N00-J11"
"000A0","R01-M1-N02-J12"
"000A1","R01-M1-N02-J11"
"000B0","R01-M1-N02-J00"
"000B1","R01-M1-N02-J07"
"000C0","R01-M0-N00-J00"
"000C1","R01-M0-N00-J07"
"000D0","R01-M0-N00-J12"
"000D1","R01-M0-N00-J11"
"000E0","R01-M0-N02-J12"
"000E1","R01-M0-N02-J11"
"000F0","R01-M0-N02-J00"
"000F1","R01-M0-N02-J07"
"00100","R00-M0-N00-J01"
"00101","R00-M0-N00-J06"
"00110","R00-M0-N00-J13"
"00111","R00-M0-N00-J10"
"00120","R00-M0-N02-J13"
"00121","R00-M0-N02-J10"
"00130","R00-M0-N02-J01"
"00131","R00-M0-N02-J06"
"00140","R00-M1-N00-J01"
"00141","R00-M1-N00-J06"
"00150","R00-M1-N00-J13"
"00151","R00-M1-N00-J10"
"00160","R00-M1-N02-J13"
"00161","R00-M1-N02-J10"
"00170","R00-M1-N02-J01"
"00171","R00-M1-N02-J06"
"00180","R01-M1-N00-J01"
"00181","R01-M1-N00-J06"
"00190","R01-M1-N00-J13"
"00191","R01-M1-N00-J10"
"001A0","R01-M1-N02-J13"
"001A1","R01-M1-N02-J10"
"001B0","R01-M1-N02-J01"
"001B1","R01-M1-N02-J06"
"001C0","R01-M0-N00-J01"
"001C1","R01-M0-N00-J06"
"001D0","R01-M0-N00-J13"
"001D1","R01-M0-N00-J10"
"001E0","R01-M0-N02-J13"
"001E1","R01-M0-N02-J10"
"001F0","R01-M0-N02-J01"
"001F1","R01-M0-N02-J06"
"00200","R00-M0-N01-J01"
